RMID	FirstName	LastName	Address	Latitude	Longitude	City	State	Zip	LandlinePhoneNumber	CellPhone	BirthDate	MaritalStatus	HirePrediction	HomePurchaseYear	HomeYearBuilt	HomeEstCurrentValue	HouseholdNetWorth	RoofMaterial	LastStormDamage	HomeSize
01231	Patricia	Davis	119 Birch Circle	35.0072	-106.5534	University Area	NM	87002	919-506-3367	919-545-6966	1974-12-29	Married	Very Likely	2017	2001	$357,922	$891,779	Metal	2023-11-14	2690
01232	William	Brown	125 Walnut Street	35.0449	-106.5188	Old Town	NM	87001	919-992-5515	919-490-3679	1962-05-13	Divorced	Unlikely	2018	2014	$365,849	$947,285	Composition Shingle	2024-02-20	1919
01233	David	Davis	265 Elm Road	33.4117	-112.0813	Central City	AZ	85003	919-115-7393	919-211-1866	1961-01-03	Widowed	Unlikely	2009	1998	$396,946	$1,073,374	Metal	2023-03-22	2276
01234	Jennifer	Wilson	851 Cedar Circle	35.0085	-106.5258	Historic District	NM	87001	919-624-3524	919-727-3927	1966-01-04	Single	Unlikely	2016	2012	$360,158	$534,532	Tile	2024-03-19	2303
01235	Michael	Smith	107 Pine Lane	35.0404	-106.5765	Old Town	NM	87001	919-716-7701	919-857-6192	1969-11-26	Married	Unlikely	2013	2002	$499,244	$322,784	Unknown	2024-04-05	2382
01236	Jennifer	Taylor	653 Oak Court	37.1738	-113.4559	St. George	UT	84791	919-368-5377	919-499-8464	1962-10-27	Divorced	Likely	2009	2014	$432,903	$1,157,360	Metal	2024-12-15	2532
01237	William	Taylor	693 Spruce Drive	33.4949	-112.0126	Garfield	AZ	85002	919-221-5000	919-792-1784	1962-01-17	Single	Likely	2020	2010	$497,086	$600,080	Metal	2023-03-21	1867
01238	Michael	Brown	480 Poplar Street	33.4973	-112.0231	Central City	AZ	85003	919-358-2052	919-237-6203	1960-11-16	Married	Unlikely	2012	2015	$361,654	$498,606	Metal	2024-12-10	2490
01239	Mary	Taylor	930 Oak Court	33.4275	-112.0826	Central Business District	AZ	85001	919-735-2461	919-206-8000	1961-08-06	Married	Possible	2017	1991	$455,327	$696,702	Composition Shingle	2024-01-13	1884
01240	Mary	Smith	569 Poplar Lane	35.0701	-106.5420	Central Albuquerque	NM	87002	919-853-8830	919-561-1401	1987-10-28	Married	Unlikely	2012	1991	$481,297	$599,627	Metal	2023-03-31	1999
01241	Elizabeth	Wilson	342 Birch Road	33.4268	-112.0771	Roosevelt	AZ	85002	919-895-9373	919-610-7762	1981-04-14	Divorced	Very Likely	2016	2013	$354,601	$544,593	Metal	2023-05-07	2605
01242	Michael	Wilson	425 Spruce Court	37.1430	-113.4843	St. George	UT	84790	919-340-5529	919-305-8952	1975-10-10	Divorced	Less Likely	2011	2012	$400,217	$869,717	Composition Shingle	2024-07-20	2500
01243	Patricia	Brown	310 Cedar Circle	37.1284	-113.4837	St. George	UT	84791	919-900-4971	919-115-3401	1983-11-24	Married	Less Likely	2016	2011	$504,283	$1,128,743	Tile	2024-03-09	2090
01244	Susan	Wilson	125 Poplar Avenue	33.4123	-112.0745	Central Phoenix	AZ	85002	919-647-6621	919-229-9034	1971-06-26	Widowed	Possible	2008	1998	$477,701	$541,763	Composition Shingle	2023-08-01	2209
01245	Patricia	Wilson	112 Maple Lane	35.0785	-106.5627	Historic District	NM	87001	919-931-7087	919-891-1652	1982-01-23	Divorced	Less Likely	2015	1997	$398,724	$944,443	Composition Shingle	2023-12-09	2041
01246	John	Wilson	797 Spruce Court	37.1829	-113.4683	St. George	UT	84790	919-804-7695	919-710-2707	1978-11-30	Divorced	Very Likely	2015	2006	$424,869	$665,068	Composition Shingle	2023-04-06	2163
01247	Elizabeth	Miller	621 Hickory Street	35.0858	-106.5457	Historic District	NM	87001	919-327-3642	919-844-3308	1990-12-19	Single	Less Likely	2017	2010	$390,577	$680,586	Metal	2024-06-04	2015
01248	John	Johnson	824 Maple Drive	35.0133	-106.5701	University Area	NM	87002	919-140-1516	919-766-6573	1974-04-14	Widowed	Likely	2011	2002	$387,291	$1,193,015	Tile	2023-01-15	2671
01249	Robert	Miller	142 Oak Avenue	33.4763	-112.0095	Roosevelt	AZ	85002	919-353-3775	919-872-1206	1989-09-05	Married	Very Likely	2018	2015	$442,912	$1,181,949	Tile	2024-10-05	1942
01250	Elizabeth	Wilson	831 Birch Court	33.4468	-112.0924	Downtown Phoenix	AZ	85001	919-581-7540	919-476-2130	1968-09-22	Single	Very Likely	2012	2015	$387,594	$473,492	Unknown	2024-07-12	2120
01251	William	Miller	619 Oak Way	35.0592	-106.5856	Central Albuquerque	NM	87002	919-330-3747	919-477-1990	1975-12-06	Single	Likely	2018	2017	$482,536	$443,862	Unknown	2023-02-17	2307
01252	John	Anderson	439 Spruce Way	35.0576	-106.5135	Downtown Albuquerque	NM	87001	919-308-5355	919-557-1450	1984-04-19	Single	Less Likely	2020	2003	$363,086	$671,106	Tile	2024-07-28	2582
01253	Susan	Davis	234 Pine Street	37.1252	-113.4676	St. George	UT	84791	919-426-9886	919-407-6316	1973-06-16	Widowed	Unlikely	2020	2012	$511,394	$953,176	Tile	2024-05-25	2726
01254	Jennifer	Johnson	968 Spruce Drive	37.1646	-113.4214	Historic District	UT	84790	919-659-1557	919-886-3506	1990-11-29	Single	Less Likely	2008	1990	$482,640	$968,848	Tile	2024-01-04	2140
01255	Elizabeth	Wilson	959 Spruce Way	33.4596	-112.0859	Government District	AZ	85001	919-372-6335	919-612-4855	1961-03-28	Married	Likely	2010	1995	$475,364	$1,190,036	Tile	2023-05-10	1904
01256	Mary	Anderson	202 Maple Lane	37.1664	-113.4987	St. George	UT	84791	919-843-6217	919-261-5074	1977-11-21	Widowed	Less Likely	2012	2017	$503,318	$706,813	Metal	2024-10-25	2475
01257	Michael	Wilson	808 Cedar Court	33.4715	-112.0910	Downtown Phoenix	AZ	85001	919-571-2280	919-905-4390	1964-11-10	Widowed	Unlikely	2019	2006	$508,814	$918,233	Unknown	2024-07-17	1987
01258	Susan	Martinez	626 Oak Circle	37.1802	-113.4430	St. George	UT	84791	919-671-8272	919-477-1534	1972-10-21	Divorced	Very Likely	2013	2016	$467,101	$478,082	Tile	2023-11-19	2352
01259	Robert	Anderson	776 Cedar Circle	33.4806	-112.0704	Central Phoenix	AZ	85002	919-685-7856	919-902-3756	1982-02-04	Married	Less Likely	2013	2015	$475,948	$1,123,737	Composition Shingle	2024-03-13	2751
01260	Patricia	Johnson	267 Poplar Road	33.4831	-112.0903	Central Phoenix	AZ	85002	919-228-4819	919-598-1643	1968-05-08	Married	Likely	2012	2019	$389,810	$508,857	Unknown	2024-08-25	1881
01261	Robert	Martinez	422 Spruce Street	33.4259	-112.0372	Garfield	AZ	85002	919-360-1211	919-466-2224	1982-06-03	Single	Unlikely	2015	2005	$458,027	$483,386	Metal	2023-11-05	2119
01262	Elizabeth	Wilson	784 Spruce Court	33.4014	-112.0280	Central City	AZ	85003	919-364-7801	919-400-1753	1960-06-18	Single	Unlikely	2020	2019	$402,209	$721,862	Composition Shingle	2023-03-20	2572
01263	David	Williams	928 Poplar Lane	37.1389	-113.4983	Historic District	UT	84790	919-145-5572	919-675-8998	1961-12-02	Single	Likely	2017	2018	$385,977	$928,962	Tile	2024-07-11	1905
01264	Susan	Wilson	978 Poplar Court	37.1474	-113.4617	St. George	UT	84791	919-496-7952	919-138-2692	1985-03-16	Single	Likely	2010	2019	$485,098	$767,871	Tile	2024-06-04	1830
01265	David	Smith	606 Cedar Lane	35.0600	-106.5941	Nob Hill	NM	87002	919-634-9832	919-235-4910	1980-04-17	Widowed	Likely	2020	2015	$380,739	$1,160,899	Tile	2024-12-16	2104
01266	Mary	Taylor	123 Oak Lane	35.0728	-106.5025	Nob Hill	NM	87002	919-958-8372	919-775-3987	1987-08-15	Divorced	Possible	2011	1992	$390,672	$596,148	Metal	2023-06-28	2410
01267	Robert	Martinez	608 Pine Way	37.1061	-113.4695	Historic District	UT	84790	919-106-4369	919-990-5742	1974-10-20	Married	Possible	2016	2013	$409,287	$636,775	Metal	2023-10-13	2765
01268	Patricia	Wilson	807 Spruce Road	33.4089	-112.0163	Central Business District	AZ	85001	919-886-2257	919-854-6535	1981-09-01	Divorced	Unlikely	2012	2007	$398,881	$1,015,762	Tile	2024-09-14	2368
01269	Patricia	Anderson	267 Maple Way	37.1199	-113.4981	Sunset	UT	84791	919-798-8017	919-770-3986	1977-04-29	Single	Very Likely	2014	1991	$395,320	$469,212	Metal	2023-11-18	1889
01270	David	Wilson	590 Cedar Street	33.4745	-112.0407	Central City	AZ	85003	919-584-1906	919-976-1967	1977-10-06	Single	Possible	2010	2005	$495,136	$580,980	Composition Shingle	2023-11-17	2777
01271	Patricia	Johnson	384 Birch Street	33.4484	-112.0145	Arts District	AZ	85003	919-313-7799	919-226-8699	1971-06-14	Married	Likely	2016	1992	$472,418	$346,087	Unknown	2023-02-28	2177
01272	Robert	Anderson	492 Elm Drive	35.0757	-106.5772	University Area	NM	87002	919-897-9734	919-723-4363	1965-04-15	Single	Likely	2019	1990	$445,975	$467,449	Composition Shingle	2023-07-22	2055
01273	John	Brown	368 Birch Lane	37.1440	-113.4068	Sunset	UT	84791	919-832-6320	919-346-7156	1974-12-11	Widowed	Less Likely	2008	2016	$515,977	$402,172	Unknown	2023-12-20	2414
01274	Michael	Davis	221 Poplar Avenue	35.0978	-106.5500	Old Town	NM	87001	919-313-9195	919-683-6144	1978-01-11	Married	Likely	2009	2006	$417,180	$433,715	Composition Shingle	2024-12-22	2158
01275	Michael	Johnson	614 Pine Circle	33.4624	-112.0913	Downtown Phoenix	AZ	85001	919-897-6416	919-856-1483	1973-04-15	Widowed	Likely	2010	2004	$386,221	$1,128,419	Composition Shingle	2023-04-03	2070
01276	David	Davis	245 Elm Road	35.0463	-106.5665	Central Albuquerque	NM	87002	919-201-1851	919-275-6409	1960-02-08	Single	Less Likely	2019	2001	$404,843	$1,000,228	Unknown	2024-07-20	2229
01277	John	Anderson	735 Poplar Court	37.1574	-113.4403	St. George	UT	84791	919-111-5609	919-773-9539	1972-03-11	Widowed	Likely	2009	2006	$411,666	$534,788	Composition Shingle	2023-01-06	2642
01278	Robert	Miller	511 Poplar Court	33.4632	-112.0652	Central Phoenix	AZ	85002	919-254-4374	919-722-4070	1982-08-04	Widowed	Less Likely	2017	1990	$369,054	$837,690	Unknown	2024-01-31	2573
01279	David	Brown	949 Cedar Road	37.1098	-113.4151	St. George	UT	84791	919-965-3920	919-558-7556	1977-06-16	Widowed	Likely	2019	2020	$437,580	$1,051,014	Unknown	2024-09-02	2663
01280	Patricia	Davis	415 Pine Avenue	33.4619	-112.0707	Central Phoenix	AZ	85002	919-452-2953	919-478-4498	1969-04-13	Married	Less Likely	2017	1991	$421,363	$519,807	Tile	2023-01-19	2100
01281	Jennifer	Miller	545 Birch Street	33.4297	-112.0110	Historic District	AZ	85003	919-765-1510	919-759-3991	1962-06-07	Married	Likely	2019	1994	$485,703	$1,169,340	Tile	2023-07-17	1917
01282	Robert	Smith	251 Poplar Court	33.4902	-112.0701	Central Phoenix	AZ	85002	919-563-2544	919-569-2333	1961-11-03	Married	Likely	2010	2006	$412,032	$324,669	Tile	2023-03-21	1823
01283	Robert	Anderson	757 Spruce Circle	35.0844	-106.5686	Old Town	NM	87001	919-466-2378	919-413-2623	1984-12-23	Married	Possible	2018	1995	$448,263	$1,077,028	Metal	2023-02-06	2214
01284	Elizabeth	Martinez	181 Pine Lane	35.0540	-106.5581	Downtown Albuquerque	NM	87001	919-165-2057	919-801-6556	1971-08-10	Divorced	Very Likely	2020	2015	$398,465	$483,426	Composition Shingle	2023-05-14	2281
01285	David	Taylor	115 Spruce Court	33.4388	-112.0502	Historic District	AZ	85003	919-622-6600	919-628-8980	1964-02-22	Married	Possible	2017	2002	$453,743	$461,636	Unknown	2023-02-08	2744
01286	Patricia	Brown	329 Hickory Lane	33.4500	-112.0542	Arts District	AZ	85003	919-143-7439	919-590-3270	1978-01-30	Widowed	Possible	2019	2020	$413,447	$795,623	Unknown	2023-03-19	2473
01287	Elizabeth	Johnson	192 Oak Way	35.0776	-106.5569	Nob Hill	NM	87002	919-865-1465	919-961-8135	1974-01-13	Divorced	Likely	2011	1999	$426,916	$906,332	Unknown	2024-01-06	2480
01288	Jennifer	Johnson	694 Pine Avenue	35.0487	-106.5586	Downtown Albuquerque	NM	87001	919-330-2754	919-204-9456	1968-02-20	Married	Possible	2013	2009	$491,385	$626,673	Unknown	2023-01-03	2388
01289	Mary	Martinez	234 Walnut Avenue	37.1126	-113.4001	Historic District	UT	84790	919-439-1156	919-824-9987	1979-03-02	Divorced	Likely	2016	2017	$456,122	$948,927	Composition Shingle	2024-11-21	1936
01290	Robert	Smith	294 Spruce Avenue	37.1239	-113.4912	St. George	UT	84791	919-251-5170	919-604-9159	1972-05-16	Married	Very Likely	2010	2002	$370,844	$937,550	Composition Shingle	2024-03-16	2491
01291	Patricia	Anderson	812 Maple Drive	33.4938	-112.0486	Central Phoenix	AZ	85002	919-807-1890	919-916-5274	1966-11-13	Widowed	Possible	2009	2002	$516,240	$1,174,387	Tile	2023-07-13	1809
01292	Michael	Martinez	325 Birch Street	33.4979	-112.0456	Central Phoenix	AZ	85002	919-684-6622	919-344-6899	1990-03-26	Divorced	Less Likely	2011	1997	$516,681	$407,524	Tile	2023-04-05	2478
01293	Robert	Wilson	708 Cedar Road	35.0170	-106.5095	Old Town	NM	87001	919-594-3113	919-828-6309	1968-10-13	Widowed	Very Likely	2014	2012	$354,368	$965,884	Unknown	2023-10-12	2049
01294	William	Anderson	839 Spruce Avenue	35.0933	-106.5505	Old Town	NM	87001	919-788-4378	919-558-3501	1976-07-10	Widowed	Unlikely	2010	2008	$460,530	$1,028,046	Composition Shingle	2023-07-24	1837
01295	William	Smith	221 Poplar Road	35.0075	-106.5815	Historic District	NM	87001	919-975-1583	919-700-9320	1970-05-10	Widowed	Possible	2010	2019	$415,435	$931,749	Composition Shingle	2024-12-29	2206
01296	David	Smith	931 Cedar Court	35.0796	-106.5154	Historic District	NM	87001	919-455-1075	919-916-3749	1982-01-06	Single	Very Likely	2020	2020	$410,128	$850,481	Tile	2024-05-01	1959
01297	William	Williams	158 Maple Circle	33.4774	-112.0130	Arts District	AZ	85003	919-758-3436	919-758-5782	1974-11-05	Widowed	Unlikely	2017	1998	$379,654	$1,011,044	Composition Shingle	2023-12-10	2773
01298	Michael	Miller	584 Spruce Circle	33.4240	-112.0034	Central Phoenix	AZ	85002	919-615-4925	919-477-3621	1989-03-03	Widowed	Likely	2014	2016	$457,998	$688,171	Metal	2023-11-01	2289
01299	William	Martinez	154 Walnut Drive	35.0455	-106.5743	Historic District	NM	87001	919-706-1943	919-441-6520	1974-11-30	Single	Less Likely	2010	1992	$386,991	$809,717	Composition Shingle	2023-07-13	2706
01300	Jennifer	Williams	569 Pine Court	37.1224	-113.4359	Sunset	UT	84791	919-715-4500	919-154-2458	1973-05-27	Divorced	Unlikely	2019	2011	$483,664	$656,792	Tile	2023-10-10	2148
01301	Patricia	Martinez	826 Walnut Court	35.0285	-106.5489	Nob Hill	NM	87002	919-725-5232	919-221-1650	1961-08-09	Widowed	Very Likely	2011	2016	$487,556	$687,749	Composition Shingle	2023-03-19	2624
01302	Robert	Johnson	538 Elm Way	35.0229	-106.5214	University Area	NM	87002	919-741-9425	919-684-8073	1968-10-04	Single	Very Likely	2020	2004	$479,540	$983,480	Composition Shingle	2023-03-13	2630
01303	Robert	Brown	570 Cedar Avenue	33.4048	-112.0109	Central Business District	AZ	85001	919-188-5167	919-395-5712	1961-02-05	Widowed	Unlikely	2013	2005	$491,866	$805,089	Tile	2024-01-23	2164
01304	William	Anderson	913 Poplar Circle	33.4827	-112.0892	Historic District	AZ	85003	919-672-3299	919-529-5174	1978-11-10	Divorced	Unlikely	2014	2015	$451,234	$833,371	Composition Shingle	2023-10-11	2584
01305	David	Martinez	682 Birch Way	33.4939	-112.0229	Garfield	AZ	85002	919-409-9885	919-870-3632	1981-12-25	Single	Very Likely	2018	2020	$369,939	$877,205	Metal	2023-01-12	2235
01306	Robert	Davis	258 Spruce Way	33.4112	-112.0980	Central City	AZ	85003	919-368-6404	919-346-2445	1964-04-18	Divorced	Likely	2011	1991	$478,543	$1,070,057	Metal	2024-04-04	1898
01307	Jennifer	Johnson	113 Elm Lane	33.4923	-112.0684	Central Phoenix	AZ	85002	919-391-8423	919-454-8221	1973-02-18	Widowed	Likely	2016	1994	$485,379	$932,580	Unknown	2023-08-29	2658
01308	Jennifer	Smith	237 Elm Court	33.4350	-112.0912	Historic District	AZ	85003	919-684-1722	919-656-7946	1969-03-29	Divorced	Very Likely	2020	2000	$369,701	$831,816	Unknown	2024-09-13	2105
01309	David	Anderson	240 Hickory Court	35.0455	-106.5171	Nob Hill	NM	87002	919-947-2554	919-336-1975	1973-04-27	Widowed	Very Likely	2014	2004	$394,543	$339,438	Composition Shingle	2024-01-12	1847
01310	Michael	Davis	514 Cedar Lane	35.0577	-106.5627	University Area	NM	87002	919-338-8585	919-276-6251	1968-10-09	Divorced	Unlikely	2013	2007	$372,348	$1,182,334	Metal	2024-12-10	1990
01311	Michael	Taylor	617 Pine Street	33.4211	-112.0636	Downtown Phoenix	AZ	85001	919-143-6393	919-342-6804	1983-06-05	Divorced	Less Likely	2018	1999	$413,336	$301,183	Metal	2024-06-15	2641
01312	Patricia	Taylor	338 Walnut Lane	33.4291	-112.0692	Government District	AZ	85001	919-680-6295	919-391-2701	1972-06-20	Married	Unlikely	2015	1990	$487,468	$908,385	Unknown	2023-06-23	1902
01313	John	Johnson	214 Poplar Court	33.4108	-112.0106	Central Business District	AZ	85001	919-818-7489	919-772-3153	1962-09-30	Widowed	Likely	2011	2007	$385,175	$1,015,180	Metal	2024-05-05	2764
01314	Susan	Martinez	320 Elm Lane	33.4970	-112.0660	Garfield	AZ	85002	919-594-6071	919-291-7851	1982-03-12	Single	Less Likely	2013	2012	$351,816	$939,527	Unknown	2024-05-14	2221
01315	John	Taylor	845 Oak Court	33.4239	-112.0854	Historic District	AZ	85003	919-510-9263	919-656-8503	1970-05-04	Widowed	Very Likely	2016	2001	$495,862	$339,450	Unknown	2024-05-11	1915
01316	Susan	Smith	883 Cedar Court	33.4578	-112.0413	Central Phoenix	AZ	85002	919-528-9832	919-281-1515	1969-11-13	Married	Likely	2011	1994	$500,197	$359,522	Unknown	2024-02-14	2054
01317	Mary	Davis	931 Poplar Road	33.4085	-112.0811	Arts District	AZ	85003	919-842-2123	919-251-6836	1981-12-07	Divorced	Very Likely	2013	2020	$497,909	$446,437	Tile	2024-02-23	2662
01318	John	Smith	176 Maple Circle	37.1198	-113.4529	Sunset	UT	84791	919-997-6973	919-967-8472	1985-03-06	Widowed	Unlikely	2010	2001	$385,157	$838,759	Tile	2024-09-11	2011
01319	David	Smith	189 Elm Court	37.1149	-113.4443	St. George	UT	84791	919-944-8227	919-815-9152	1960-07-09	Single	Very Likely	2012	2015	$379,645	$1,098,500	Tile	2024-03-02	2287
01320	John	Wilson	840 Elm Way	35.0121	-106.5982	Historic District	NM	87001	919-730-6760	919-632-6070	1972-12-20	Divorced	Likely	2015	2009	$426,292	$1,081,166	Tile	2024-11-30	1969
01321	Patricia	Wilson	962 Hickory Lane	33.4896	-112.0917	Central Business District	AZ	85001	919-841-2799	919-928-8728	1980-12-27	Divorced	Unlikely	2020	2014	$365,885	$595,279	Unknown	2024-05-08	2367
01322	Jennifer	Miller	744 Pine Road	33.4901	-112.0587	Historic District	AZ	85003	919-818-8125	919-365-7535	1987-07-21	Married	Very Likely	2012	2005	$390,428	$698,061	Metal	2023-06-19	2030
01323	Elizabeth	Taylor	475 Oak Drive	35.0076	-106.5369	Historic District	NM	87001	919-508-9581	919-370-1311	1968-09-30	Divorced	Very Likely	2010	2009	$438,252	$1,103,777	Unknown	2023-06-20	2307
01324	Michael	Williams	460 Pine Avenue	33.4083	-112.0553	Central City	AZ	85003	919-546-9392	919-645-7918	1988-04-08	Single	Very Likely	2020	2012	$424,413	$925,576	Unknown	2024-05-17	2765
01325	David	Brown	483 Spruce Circle	37.1399	-113.4921	St. George	UT	84791	919-762-4010	919-493-2610	1967-07-31	Divorced	Unlikely	2011	2005	$443,740	$957,074	Composition Shingle	2024-12-04	1818
01326	John	Williams	168 Elm Lane	35.0029	-106.5551	Historic District	NM	87001	919-967-3518	919-235-4418	1964-12-10	Married	Very Likely	2014	2013	$466,570	$955,201	Metal	2024-10-30	2270
01327	Elizabeth	Martinez	904 Birch Street	37.1126	-113.4786	Sunset	UT	84791	919-710-8712	919-451-3233	1975-06-23	Married	Very Likely	2009	2016	$392,567	$463,140	Tile	2023-09-11	2093
01328	Mary	Brown	146 Spruce Court	35.0997	-106.5321	Historic District	NM	87001	919-909-6683	919-229-6659	1984-03-30	Married	Possible	2008	1992	$495,169	$941,296	Composition Shingle	2024-04-21	1900
01329	Mary	Miller	247 Hickory Drive	35.0289	-106.5085	Central Albuquerque	NM	87002	919-642-3565	919-546-2113	1987-06-21	Single	Possible	2018	2002	$512,748	$733,807	Metal	2024-04-10	2023
01330	Elizabeth	Anderson	208 Poplar Lane	33.4610	-112.0039	Roosevelt	AZ	85002	919-968-2715	919-773-5036	1988-05-31	Divorced	Possible	2019	2002	$374,859	$1,031,644	Composition Shingle	2023-12-07	2233
01331	John	Miller	913 Hickory Avenue	35.0681	-106.5272	Historic District	NM	87001	919-838-9622	919-850-1209	1960-04-07	Single	Possible	2014	2003	$487,978	$852,819	Unknown	2023-11-29	2478
01332	Michael	Brown	346 Birch Court	33.4358	-112.0891	Downtown Phoenix	AZ	85001	919-226-7914	919-935-8129	1961-08-25	Divorced	Unlikely	2015	2011	$451,359	$808,663	Composition Shingle	2023-03-19	2456
01333	John	Williams	395 Oak Road	35.0871	-106.5614	Old Town	NM	87001	919-496-4783	919-189-8277	1986-10-23	Widowed	Very Likely	2010	1995	$394,678	$1,084,169	Composition Shingle	2023-09-13	1961
01334	John	Miller	375 Poplar Way	37.1310	-113.4095	Historic District	UT	84790	919-283-3158	919-583-8710	1973-06-17	Widowed	Very Likely	2017	2008	$384,454	$627,956	Metal	2024-06-06	2631
01335	Mary	Johnson	225 Pine Lane	33.4995	-112.0453	Downtown Phoenix	AZ	85001	919-435-8579	919-299-5034	1970-07-17	Widowed	Very Likely	2018	2014	$404,384	$808,069	Unknown	2024-10-02	2215
01336	Robert	Williams	941 Birch Avenue	37.1824	-113.4971	St. George	UT	84791	919-754-2039	919-110-2726	1972-06-12	Widowed	Unlikely	2017	2017	$411,775	$813,959	Composition Shingle	2023-06-17	1994
01337	Robert	Brown	848 Spruce Way	37.1136	-113.4881	Dixie Downs	UT	84791	919-242-3116	919-630-9062	1974-03-10	Divorced	Possible	2013	2003	$431,781	$973,513	Unknown	2023-04-25	1898
01338	Jennifer	Brown	571 Cedar Avenue	33.4378	-112.0547	Central City	AZ	85003	919-382-8539	919-946-9712	1990-07-02	Married	Very Likely	2015	2008	$413,368	$790,952	Tile	2023-05-18	2760
01339	Elizabeth	Williams	361 Hickory Lane	33.4598	-112.0961	Central Phoenix	AZ	85002	919-602-2272	919-965-5553	1970-10-26	Widowed	Likely	2010	2002	$459,999	$833,949	Unknown	2024-06-28	2259
01340	Jennifer	Anderson	841 Walnut Court	33.4868	-112.0855	Arts District	AZ	85003	919-156-3029	919-267-7066	1981-12-16	Divorced	Less Likely	2017	1999	$427,917	$569,568	Metal	2024-04-11	1895
01341	David	Anderson	872 Elm Street	35.0490	-106.5147	Central Albuquerque	NM	87002	919-438-1102	919-833-2305	1965-02-17	Divorced	Less Likely	2008	2003	$456,589	$912,917	Composition Shingle	2023-04-06	2567
01342	Elizabeth	Brown	208 Elm Drive	33.4170	-112.0924	Roosevelt	AZ	85002	919-647-9513	919-379-6277	1963-01-05	Single	Less Likely	2012	2007	$482,745	$388,833	Tile	2023-10-28	2415
01343	Michael	Johnson	671 Cedar Court	35.0406	-106.5783	Downtown Albuquerque	NM	87001	919-478-2668	919-508-8026	1978-09-14	Married	Unlikely	2017	2012	$353,108	$718,985	Tile	2024-02-03	1889
01344	Michael	Williams	606 Cedar Avenue	37.1383	-113.4897	Historic District	UT	84790	919-425-6178	919-261-2432	1990-11-28	Widowed	Possible	2011	2009	$378,758	$340,052	Composition Shingle	2024-07-09	2265
01345	Patricia	Miller	181 Elm Street	37.1322	-113.4276	St. George	UT	84790	919-456-9815	919-266-5855	1973-02-28	Single	Very Likely	2018	2002	$379,542	$922,479	Metal	2024-12-27	1808
01346	David	Anderson	375 Birch Drive	33.4573	-112.0861	Central Phoenix	AZ	85002	919-999-4197	919-736-7799	1969-02-13	Married	Possible	2014	2003	$480,128	$707,991	Unknown	2024-04-14	2483
01347	Jennifer	Miller	441 Birch Avenue	35.0522	-106.5826	Downtown Albuquerque	NM	87001	919-200-3348	919-776-1784	1986-04-25	Divorced	Less Likely	2016	1991	$479,176	$317,558	Composition Shingle	2023-06-04	2252
01348	Patricia	Smith	729 Cedar Court	37.1977	-113.4846	St. George	UT	84790	919-210-5570	919-297-3305	1983-05-10	Single	Possible	2017	2012	$478,159	$309,557	Unknown	2023-09-20	2129
